Call me Sam. please. | 샘이라고 불러주세요.
Can I get a ride? | 나를 태워다 줄 수 있어요?
Can you hear me now? | 인제 잘 들려요?
Can't argue with that. | 그건 논란의 여지가 없죠.
Can't be better than this. | 이것보다 더 좋을수는 없죠.
Cash or charge? | 현찰이요? 아니면 신용카드?
Catch you later. | 나중에 보자구요. ( 혹은 나중에 들를께요.)
Certainly. | 확실히 그렇죠.
Charge it please. | 대금을 크레딧 카드로 결재해 주세요.
Check it out | 확인해 봐.
Check, please. | 계산서 좀 주세요.
Cheer up! | 기운내요! (혹은 화이팅!)
Cheers! | 건배!
(Coffee), please | 커피 주세요. (주문)
Come and get it. | 와서 가져가세요. (와서먹어요.)
Come on it. | 들어와요.
Come on | 설마~ (혹은 에이~)
Congratulations! | 축하합니다!
Could be. | 그럴수도 있죠.
Could't be better than this. | 이보다 더 좋을 순 없어
